
> futuretalent-ui@1.0.0 dev
> vite


  VITE v5.4.21  ready in 560 ms

  ➜  Local:   http://localhost:3000/
  ➜  Network: http://172.25.11.157:3000/
  ➜  Network: http://10.255.1.1:3000/
4:23:35 AM [vite] hmr update /src/pages/Feedback/index.tsx
4:23:55 AM [vite] hmr update /src/pages/Feedback/index.tsx
4:24:14 AM [vite] hmr update /src/pages/Feedback/index.tsx
4:24:17 AM [vite] hmr update /src/pages/Feedback/index.tsx
4:24:25 AM [vite] hmr update /src/pages/Feedback/index.tsx
4:31:39 AM [vite] hmr update /src/pages/Feedback/index.tsx
4:33:21 AM [vite] hmr update /src/pages/Feedback/index.tsx
4:44:05 AM [vite] hmr update /src/pages/Feedback/index.tsx
4:44:17 AM [vite] hmr update /src/pages/Feedback/index.tsx
4:44:20 AM [vite] hmr update /src/pages/Feedback/index.tsx
4:50:01 AM [vite] hmr update /src/pages/Feedback/index.tsx
4:50:18 AM [vite] hmr update /src/pages/Feedback/index.tsx
4:52:30 AM [vite] hmr update /src/pages/Feedback/index.tsx
4:52:38 AM [vite] hmr update /src/pages/Feedback/index.tsx
4:52:55 AM [vite] hmr update /src/pages/Feedback/index.tsx
4:53:32 AM [vite] hmr update /src/pages/Feedback/index.tsx
4:54:09 AM [vite] hmr update /src/pages/Feedback/index.tsx
4:57:18 AM [vite] hmr update /src/pages/IdeaCreate/index.tsx
4:57:33 AM [vite] hmr update /src/pages/IdeaCreate/index.tsx
5:02:22 AM [vite] hmr update /src/pages/Feedback/index.tsx
5:09:45 AM [vite] hmr update /src/pages/Feedback/index.tsx
5:12:17 AM [vite] hmr update /src/pages/Feedback/index.tsx
5:21:05 AM [vite] hmr update /src/pages/Feedback/index.tsx
5:32:30 AM [vite] hmr update /src/pages/Feedback/index.tsx
5:33:38 AM [vite] hmr update /src/pages/Feedback/index.tsx
5:37:20 AM [vite] hmr update /src/pages/Feedback/index.tsx
5:45:47 AM [vite] hmr update /src/pages/UserEdit/index.tsx
5:45:55 AM [vite] hmr update /src/pages/UserEdit/index.tsx
5:46:43 AM [vite] hmr update /src/pages/UserEdit/index.tsx
5:47:28 AM [vite] hmr update /src/pages/UserEdit/index.tsx
5:47:36 AM [vite] hmr update /src/pages/UserEdit/index.tsx
5:48:05 AM [vite] hmr update /src/pages/UserEdit/index.tsx
5:48:15 AM [vite] hmr update /src/pages/UserEdit/index.tsx
5:52:17 AM [vite] hmr update /src/pages/UserEdit/index.tsx
5:52:44 AM [vite] hmr update /src/pages/UserEdit/index.tsx
5:53:38 AM [vite] hmr update /src/pages/UserEdit/index.tsx
5:53:45 AM [vite] hmr update /src/pages/UserEdit/index.tsx
5:55:50 AM [vite] hmr update /src/pages/UserEdit/index.tsx
5:55:57 AM [vite] hmr update /src/pages/UserEdit/index.tsx
5:57:26 AM [vite] hmr update /src/pages/UserEdit/index.tsx
6:03:18 AM [vite] hmr update /src/pages/UserEdit/index.tsx
6:18:51 AM [vite] hmr update /src/pages/UserEdit/index.tsx
6:21:49 AM [vite] hmr update /src/pages/UserEdit/index.tsx
6:29:51 AM [vite] hmr update /src/pages/UserEdit/index.tsx
